Date,S,V,Delta,Hedging Error,Cumulative Hedging Error,PNL
53,103.616,3.88694,0.487911,0.0446791,0.180625,-0.504737
54,103.544,3.80145,0.484265,0.0458362,0.226461,-0.590221
55,104.549,4.25506,0.521075,0.0284242,0.254885,-0.136615
56,104.583,4.22012,0.52173,0.0474133,0.302298,-0.171554
57,107.159,5.63422,0.616925,-0.075207,0.227091,1.24255
58,105.363,4.53163,0.550528,-0.0109778,0.216114,0.139956
59,104.137,3.83174,0.502347,0.0195329,0.235647,-0.559936
60,106.129,4.85482,0.579695,-0.0271113,0.208535,0.463149
61,108.149,6.04755,0.655524,-0.0275747,0.180961,1.65588
62,104.778,3.99517,0.525816,-0.164063,0.0168976,-0.396504
63,105.625,4.39776,0.559802,0.0375349,0.0544326,0.00608236
64,104.297,3.63328,0.504497,0.0156856,0.0701182,-0.758394
65,105.175,4.03385,0.540772,0.0374419,0.10756,-0.357821
66,103.73,3.23901,0.47816,0.00860597,0.116166,-1.15267
67,103.642,3.13839,0.472972,0.0539011,0.170067,-1.25328
68,104.985,3.75231,0.531308,0.0166055,0.186673,-0.639363
69,106.288,4.41983,0.588311,0.0194899,0.206162,0.0281575
70,106.232,4.32452,0.58629,0.0568143,0.262977,-0.0671493
71,108.431,5.65589,0.680711,-0.0482471,0.21473,1.26422
72,110.017,6.7264,0.744119,0.00222049,0.21695,2.33472
73,108.399,5.50935,0.683516,0.00553876,0.222489,1.11768
74,107.084,4.58179,0.627876,0.0222328,0.244722,0.190119
75,108.73,5.6116,0.702244,-0.00248061,0.242241,1.21992
76,106.409,4.03142,0.598205,-0.0570222,0.185219,-0.360256
77,107.243,4.47776,0.63995,0.0465367,0.231756,0.0860883
78,108.959,5.57806,0.721174,-0.00850811,0.223247,1.18639
79,106.063,3.6111,0.583079,-0.128743,0.0945041,-0.780569
80,105.887,3.43416,0.574313,0.0686903,0.163194,-0.957517
81,107.408,4.29438,0.657053,0.00716184,0.170356,-0.0972966
82,106.037,3.36499,0.584247,0.0223183,0.192675,-1.02669
83,107.782,4.39254,0.683092,-0.013667,0.179008,0.000862525
84,106.197,3.29578,0.596176,0.00708198,0.18609,-1.09589
85,103.88,1.99599,0.449272,-0.0877046,0.0983849,-2.39569
86,104.01,1.96805,0.454701,0.0817547,0.18014,-2.42362
87,104.763,2.23816,0.503913,0.0678187,0.247958,-2.15351
88,105.683,2.63618,0.568449,0.0606339,0.308592,-1.7555
89,106.593,3.08586,0.635353,0.0616988,0.370291,-1.30581
90,106.893,3.18113,0.661684,0.0890364,0.459327,-1.21054
91,108.007,3.86698,0.746181,0.0443728,0.5037,-0.524694
92,107.709,3.5475,0.736741,0.0894539,0.593154,-0.84417
93,106.996,2.92916,0.693722,0.0858765,0.679031,-1.46251
94,107.179,2.94146,0.721432,0.107376,0.786407,-1.45021
95,107.505,3.06436,0.76618,0.105054,0.891461,-1.32732
96,109.817,4.95638,0.933947,-0.128525,0.762936,0.564711
97,110.129,5.19802,0.967004,0.0399245,0.802861,0.806342
98,110.277,5.30704,0.989403,0.0247768,0.827637,0.915369
99,111.147,6.15708,0.999916,-0.000431554,0.827206,1.76541
